Country,Year,Direct cost,Foregone earnings,Total costs,Gross earnings benefits ,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Grants effect,Total benefits,Net present value,Internal rate of return,Gender,Attainment,Sector
Canada,2008,-18094,-33461,-51555,229354,-59998,-17327,0,9909,1103,163042,111487,0.11,female,tertiary,private
Chile,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Czech Republic,2008,-4915,-22214,-27129,229623,-49088,-30987,0,18444,,167992,140864,0.16,female,tertiary,private
Denmark,2008,-3124,-51865,-54989,146733,-55606,-12209,-7081,4395,25189,101420,46432,0.09,female,tertiary,private
Estonia,2008,-6117,-23843,-29961,91458,-20035,-2591,0,8254,,77086,47125,0.10,female,tertiary,private
Finland,2008,-1925,-57436,-59361,203311,-71668,-13866,-1661,18032,8730,142879,83518,0.09,female,tertiary,private
France,2008,-7868,-52263,-60131,227629,-45923,-33756,-84,19076,3620,170561,110430,0.09,female,tertiary,private
Germany,2008,-6542,-63643,-70185,266912,-80528,-60157,-926,24178,6021,155499,85314,0.08,female,tertiary,private
Greece,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Hungary,2008,-4426,-14717,-19143,253441,-110971,-47460,0,25593,1283,121885,102742,0.18,female,tertiary,private
Iceland,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Ireland,2008,-7482,-63062,-70544,341156,-92253,-29519,0,10885,4361,234630,164087,0.12,female,tertiary,private
Israel,2008,-17469,-30773,-48242,177689,-29269,-20793,0,16951,,144578,96336,0.10,female,tertiary,private
Italy,2008,-7285,-47826,-55111,223811,-79954,-21986,0,7563,3330,132764,77652,0.07,female,tertiary,private
Japan,2007,-37215,-49265,-86481,231306,-20848,-29117,0,9951,,191293,104812,0.08,female,tertiary,private
Korea,2008,-23592,-47607,-71199,205230,-8892,-18027,0,31992,,210303,139104,0.10,female,tertiary,private
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Mexico,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Netherlands,2008,-14113,-87458,-101571,339338,-129641,-30381,0,9467,14371,203152,101581,0.07,female,tertiary,private
New Zealand,2008,-9476,-47867,-57343,123296,-34553,-1645,-2591,2863,1891,89261,31918,0.06,female,tertiary,private
Norway,2008,-1180,-68812,-69992,214414,-60617,-16984,0,3998,6226,147038,77046,0.07,female,tertiary,private
Poland,2008,-6291,-15058,-21350,215086,-24687,-52035,0,27164,1742,167270,145920,0.20,female,tertiary,private
Portugal,2006,-5903,-20483,-26386,355880,-92120,-36253,0,9848,,237354,210968,0.18,female,tertiary,private
Slovak Republic,2008,-5543,-12580,-18123,183917,-34359,-27821,0,24459,1250,147446,129323,0.21,female,tertiary,private
Slovenia,2007,-5895,-20090,-25984,319493,-74631,-74593,0,22535,200,193005,167020,0.18,female,tertiary,private
Spain,2008,-10051,-35821,-45872,235494,-61742,-16761,0,28175,,185166,139293,0.11,female,tertiary,private
Sweden,2008,-4913,-59179,-64092,134336,-39174,-10088,0,10293,8341,103709,39616,0.06,female,tertiary,private
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,m,female,tertiary,private
Turkey,2005,-1061,-8185,-9246,116530,-21267,-19627,0,14075,,89711,80466,0.19,female,tertiary,private
United Kingdom,2008,-28704,-93777,-122481,352964,-72696,-40014,-2242,14270,2244,254525,132044,0.07,female,tertiary,private
United States,2008,-71053,-46090,-117143,389714,-98287,-31645,0,25624,,285407,168264,0.09,female,tertiary,private
OECD average,,-11924,-42760,-54684,235680,-61984,-28946,-521,16413,5296,164237,109553,0.11,female,tertiary,private
EU21 average,,-7298,-41857,-49155,240629,-64354,-33406,-706,16661,5859,163304,102892,0.11,female,tertiary,private
