country,Year,Direct cost,Foregone earnings,Total costs,Gross earnings benefits ,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Total benefits,Net present value,Internal rate of return,,Gender,,,
Ireland,2008,-619.7242617,-32895.71588,-33515.44014,243035.5344,-89225.48508,-17629.62746,0,60310.06445,196490.4863,162975.0462,0.146766793,0,male,,,
Israel,2008,-1265.979099,-30055.53228,-31321.51138,143386.9172,-28405.14854,-18920.26517,0,26841.42828,122902.9318,91581.42039,0.096802626,,male,,,
Italy,2008,-985.6631987,-43886.07385,-44871.73705,177072.8203,-63514.17047,-18903.49431,0,22518.95551,117174.111,72302.37395,0.080512148,0,male,,,
Japan,,,,,,,,,,,,,0,male,,,
Korea,2008,-6068.987844,-25377.6116,-31446.59944,171944.9767,-8892.48859,-16444.39082,0,45808.40717,192416.5045,160969.905,0.165284632,0,male,,,
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,,male,,,
Mexico,,m,m,m,m,m,m,m,m,m,m,m,,male,,,
Netherlands,,,,,,,,,,,,,,male,,,
New Zealand,2008,-3244.409261,-33866.45288,-37110.86214,93186.10453,-33648.01872,-1463.156651,-970.5614674,20257.86402,77362.23171,40251.36956,0.072937518,0,male,,,
Norway,2008,-2859.133632,-53840.34845,-56699.48208,248838.68,-80412.30854,-22351.07883,-3186.723597,38016.42568,180904.9947,124205.5126,0.118686998,0,male,,,
Poland,2008,-915.720173,-16602.18595,-17517.90613,53310.8419,-6964.633966,-16753.12883,0,24689.21178,54282.29089,36764.38477,0.103349605,0,male,,,
Portugal,2006,-11.57023062,-23444.78361,-23456.35384,212846.2244,-53287.05502,-23132.56947,0,-3352.5816,133074.0183,109617.6645,0.114647129,0,male,,,
Slovak Republic,2008,-2358.129633,-6324.224116,-8682.353749,106964.5652,-37695.66567,-30699.0381,0,122421.1054,160990.9668,152308.6131,0.407783569,0,male,,,
Slovenia,2007,-2175.924571,-18284.34419,-20460.26876,111618.2587,-19595.13827,-28948.31152,0,19306.65756,82381.46643,61921.19768,0.120997966,0,male,,,
Spain,2008,-1464.014892,-12550.62525,-14014.64014,95667.29951,-25707.55287,-7912.312169,0,28987.47235,91034.90681,77020.26667,0.114100377,0,male,,,
Sweden,2008,-21.17210468,-29425.31733,-29446.48943,174618.4261,-55710.52979,-15255.49046,-20045.56902,42498.60031,126105.4371,96658.94771,0.149399057,0,male,,,
Switzerland,,m,m,,m,m,m,m,m,m,m,m,,male,,,
Turkey,2005,-336.2493418,-11218.21633,-11554.46567,63318.30444,-10583.95031,-10114.70998,0,4016.890495,46636.53464,35082.06897,0.094586759,0,male,,,
United Kingdom,2008,-4880.037122,-33603.30159,-38483.33871,218579.2123,-50129.02302,-27712.9034,-9148.55357,46771.56558,178360.2979,139876.9591,0.125081665,0,male,,,
United States,2008,-2888.437117,-26754.69714,-29643.13426,292656.0466,-70773.97533,-25845.75074,-5324.717495,45392.39355,236103.9966,206460.8624,0.202214439,0,male,,,
OECD average,,-1944.291921,-26816.52695,-28760.81888,143540.471,-41315.12972,-18875.93774,-3422.940287,38883.62993,118810.0932,90049.27429,0.133577325,0,male,,,
EU21 average,,-1524.187859,-25754.16627,-27278.35413,137357.7325,-42101.81404,-21544.08676,-4401.194381,41813.66541,111124.3027,83845.94856,0.135904621,,male,,,
Australia,2005,-2891.318589,-23469.63154,-26360.95013,88808.70311,-28019.78811,0,-17610.52896,23261.11756,66439.5036,40078.55347,0.11297627,0,female,,,
Austria,2008,-1800.699633,-44863.80809,-46664.50773,188626.478,-29485.48304,-43040.23689,-22992.82406,29566.8808,122674.8148,76010.30711,0.093320028,0,female,,,
Belgium,,,,,,,,,,,,,0,female,,,
Canada,2008,-3141.589547,-29729.74178,-32871.33133,109364.6978,-23189.80504,-11278.28142,-2192.459097,19738.84267,92442.99489,59571.66356,0.087537705,0,female,,,
Chile,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Czech Republic,2008,-2142.211827,-15950.05464,-18092.26646,97445.36288,-26652.44466,-20933.12166,0,69775.69906,119635.4956,101543.2291,0.217796833,0,female,,,
Denmark,2008,-745.9307249,-35265.31145,-36011.24218,137855.8456,-50090.1826,-12362.73463,0,10065.96024,85468.88858,49457.64641,0.095903163,0,female,,,
Estonia,2008,-179.5579392,-10992.97975,-11172.53769,46596.5915,-11310.78093,-1534.977113,0,12465.81594,46216.6494,35044.11171,0.209036065,0,female,,,
Finland,2008,-210.2082145,-30803.09988,-31013.30809,54469.42061,-17246.4189,-5082.571036,-15567.50074,26412.47715,42985.40708,11972.09899,0.048964421,0,female,,,
France,2008,-2632.098956,-28347.4792,-30979.57816,108027.781,-19604.7819,-19024.52298,-10229.35642,31095.65133,90264.77101,59285.19285,0.093653514,0,female,,,
Germany,2008,-3877.129318,-35784.48143,-39661.61075,122989.0554,-31875.89956,-34864.14876,-36713.62809,43777.7041,63313.08313,23651.47238,0.057586664,0,female,,,
Greece,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Hungary,2008,-880.4657167,-12303.54378,-13184.0095,85251.65477,-32819.76819,-21045.10052,0,38518.37042,69905.15649,56721.14699,0.163426612,0,female,,,
Iceland,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Ireland,2008,-619.7242617,-36154.85687,-36774.58113,218100.0998,-23312.75834,-16063.75361,0,19774.34507,198497.933,161723.3518,0.23524039,0,female,,,
Israel,2008,-1265.979099,-29066.88265,-30332.86175,107391.1641,-6275.570903,-6331.932356,-82.16840203,16174.94034,110876.4328,80543.57105,0.097450961,0,female,,,
Italy,2008,-985.6631987,-38623.90185,-39609.56505,152167.025,-51237.53311,-17292.66898,0,29982.67946,113619.5024,74009.93734,0.084295709,0,female,,,
Japan,,,,,,,,,,,,,0,female,,,
Korea,2008,-6068.987844,-25021.4221,-31090.40994,71331.45291,-1971.141248,-9207.308198,0,50038.72982,110191.7333,79101.32335,0.125255054,0,female,,,
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Mexico,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Netherlands,,,,,,,,,,,,,0,female,,,
New Zealand,2008,-3244.409261,-33446.67732,-36691.08658,81687.04561,-19232.37828,-1205.104789,-10027.82537,11252.04612,62473.78329,25782.69671,0.060561801,0,female,,,
Norway,2008,-2859.133632,-54054.53647,-56913.6701,149381.2338,-41441.1306,-13140.43736,-13728.64984,20334.85753,101405.8736,44492.20348,0.063111037,0,female,,,
Poland,2008,-915.720173,-14878.68246,-15794.40264,74415.90043,-8271.114545,-19448.07946,0,16432.9214,63129.62782,47335.22519,0.105440556,0,female,,,
Portugal,2006,-11.57023062,-20630.78183,-20642.35206,150215.0001,-31103.55627,-17731.44721,0,10415.68601,111795.6826,91153.33055,0.117115133,0,female,,,
Slovak Republic,2008,-2358.129633,-4463.897766,-6822.027399,81610.54626,-27655.01645,-22522.01178,0,87100.7334,118534.2514,111712.224,0.428139649,0,female,,,
Slovenia,2007,-2175.924571,-18557.449,-20733.37358,118292.1354,-16877.41857,-28103.676,-708.4723196,9009.405483,81611.97405,60878.60047,0.113470236,0,female,,,
Spain,2008,-1464.014892,-11638.06396,-13102.07885,127362.3673,-23551.18744,-9848.828938,0,28606.76421,122569.1152,109467.0363,0.203928145,0,female,,,
Sweden,2008,-21.17210468,-29251.87214,-29273.04425,132069.6981,-42495.12708,-12279.60612,-28046.2637,43892.2673,93140.9685,63867.92425,0.105524645,0,female,,,
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,,female,,,
Turkey,2005,-336.2493418,-12058.1066,-12394.35594,75878.8375,-8394.597163,-9432.134367,0,-12434.38573,45617.72025,33223.3643,0.091816221,0,female,,,
United Kingdom,2008,-4880.037122,-34464.93193,-39344.96905,110414.9346,-27011.36724,-15010.09243,-35050.74027,39416.4893,72759.22397,33414.25492,0.065776717,0,female,,,
United States,2008,-2888.437117,-27306.93074,-30195.36786,229708.2208,-43136.87935,-19463.52442,-10331.93247,24980.51806,181756.4026,151561.0348,0.177955673,0,female,,,
OECD average,,-1943.854518,-26285.16501,-28229.01953,116778.4501,-25690.48518,-15449.85204,-8131.29399,27986.26068,95493.07957,67264.06005,0.130211328,0,female,,,
EU21 average,,-1523.544619,-24880.89388,-26404.4385,117994.6998,-27682.40228,-18599.2693,-8782.869742,32135.87357,95066.03206,68661.59356,0.143448146,,female,,,
