Country,Year,Direct cost,Foregone taxes on earnings,Total costs,Income tax effect,Social contribution effect,Transfers effect,Unemployment effect,Grants effect,Total benefits,Net present value,Internal rate of return,Gender
United States,2008,-42430.01387,-3124.420336,-45554.43421,212252.6938,51524.99485,0,14555.85773,,278333.5464,232779.1122,0.145218575,male
OECD average,,-26250.43978,-9834.559458,-36084.99924,102850.8354,33225.47586,172.4030961,4545.591841,-5295.923082,137200.6441,101115.6448,0.108241877,male
EU21 average,,-28455.44848,-9366.580489,-37822.02897,102848.6435,39508.87948,283.5943691,5377.228457,-5858.748078,143538.1267,105716.0977,0.112178863,male
Australia,2005,-13208.77672,-6853.210087,-20061.98681,71194.82268,0,0,3418.696488,-5.73670522,74607.78247,54545.79566,0.131398428,female
Austria,2008,-39080.86941,-10483.00972,-49563.87914,87055.98003,55999.02838,0,3328.485503,-9852.009287,136531.4846,86967.60549,0.072201576,female
Belgium,2005,-20551.72912,-7822.001519,-28373.73064,94858.49924,52075.37079,0,13646.16732,-861.7650644,159718.2723,131344.5416,0.175150105,female
Canada,2008,-25745.33656,-3937.092936,-29682.4295,58596.16851,16632.23716,0,2096.605912,-1103.20953,76221.80205,46539.37255,0.085306485,female
Chile,,m,m,m,m,m,m,m,m,m,m,m,female
Czech Republic,2008,-18618.71253,71.39760828,-18547.31492,46476.60062,28689.26524,0,4908.546159,,80074.41202,61527.0971,0.127366018,female
Denmark,2008,-66834.64915,-23309.22176,-90143.87091,54340.64628,11717.53914,7081.172372,1757.166174,-25189.30547,49707.2185,-40436.65241,0.010426573,female
Estonia,2008,-22774.02238,-3464.721599,-26238.74398,18703.42404,2377.476489,0,1545.392508,,22626.29303,-3612.450946,0.021836568,female
Finland,2008,-40184.32896,-13454.30521,-53638.63416,67723.93634,12745.22322,1660.740212,5065.238682,-8730.362708,78464.77575,24826.14159,0.047081637,female
France,2008,-35052.31719,-10180.55927,-45232.87645,43526.89576,31157.6579,84.31857585,4994.22073,-3619.554305,76143.53867,30910.66221,0.056113191,female
Germany,2008,-38266.7467,-24403.87516,-62670.62186,76514.48409,55196.15891,926.417067,8974.357708,-6021.165447,135590.2523,72919.63047,0.073702359,female
Greece,,m,m,m,m,m,m,m,m,m,m,m,female
Hungary,2008,-15556.38107,-3537.439736,-19093.8208,104090.0373,43122.91265,0,11218.38617,-1282.779808,157148.5563,138054.7355,0.208517949,female
Iceland,,m,m,m,m,m,m,m,m,m,m,m,female
Ireland,2008,-35397.12933,-315.2642002,-35712.39353,90864.38105,28943.35288,0,1964.236892,-4360.995415,117410.9754,81698.58187,0.095723135,female
Israel,2008,-18416.55444,-1328.895561,-19745.45,28170.11854,19701.36493,0,2191.291524,,50062.77499,30317.32499,0.07794946,female
Italy,2008,-17537.94496,-11185.35176,-28723.29672,77918.80025,21270.40402,0,2750.406317,-3329.87124,98609.73935,69886.44263,0.079580015,female
Japan,2007,-17896.84323,-10654.06435,-28550.90758,20218.09381,27924.13946,0,1822.283162,,49964.51643,21413.60886,0.061833714,female
Korea,2008,-6770.171507,-4587.987395,-11358.1589,8331.224362,15612.50877,0,2975.660475,,26919.39361,15561.2347,0.079557229,female
Luxembourg,,m,m,m,m,m,m,m,m,m,m,m,female
Mexico,,m,m,m,m,m,m,m,m,m,m,m,female
Netherlands,2008,-37381.70558,-35639.92039,-73021.62597,128000.7421,28439.53819,0,3582.35079,-14370.54509,145652.086,72630.46004,0.061658171,female
New Zealand,2008,-22524.09636,-7346.686768,-29870.78312,33955.32403,1607.719264,2591.089676,634.3792324,-1891.22989,36897.28231,7026.499186,0.041968098,female
Norway,2008,-36777.27651,-22398.07698,-59175.3535,59827.95981,16674.28552,0,1098.471218,-6226.32728,71374.38928,12199.03578,0.038340396,female
Poland,2008,-14435.03514,-5047.277151,-19482.31229,22460.09127,46221.12796,0,8041.301383,-1742.463843,74980.05677,55497.74447,0.109076664,female
Portugal,2006,-11847.88573,-3688.961577,-15536.8473,89668.51211,35320.53991,0,3384.637046,,128373.6891,112836.8418,0.175969152,female
Slovak Republic,2008,-15032.56381,-5643.677113,-20676.24092,30345.94989,24560.46094,0,7273.178376,-1250.30432,60929.28489,40253.04396,0.094174796,female
Slovenia,2007,-19911.3992,-5673.961337,-25585.36053,70950.8563,69679.87441,0,8593.5875,-200.3452592,149023.9729,123438.6124,0.133781488,female
Spain,2008,-37505.68664,-3659.321157,-41165.00779,58077.33982,14980.22281,0,5445.060183,,78502.62281,37337.61502,0.063008201,female
Sweden,2008,-39997.2101,-16181.90424,-56179.11433,36902.8459,9372.400779,0,2986.062529,-8340.900624,40920.40859,-15258.70575,0.017950384,female
Switzerland,,m,m,m,m,m,m,m,m,m,m,m,female
Turkey,2005,-9567.185798,-3320.253284,-12887.43908,19194.31143,17528.33545,0,4171.218599,,40893.86548,28006.4264,0.09120223,female
United Kingdom,2008,-15151.18051,-6193.253971,-21344.43448,70462.12649,38754.16573,2242.336662,3494.43734,-2243.667285,112709.3989,91364.96445,0.147851424,female
United States,2008,-42430.01387,-3188.071242,-45618.08511,94347.14756,29696.66195,0,5887.287042,,129931.0965,84313.01143,0.096544595,female
OECD average,,-26230.49116,-9050.963138,-35281.4543,59384.90427,26999.99903,520.9312344,4544.611177,-5295.923082,87856.78362,52575.32933,0.088402501,female
EU21 average,,-28422.59193,-8608.865138,-37031.45707,61534.28868,31182.81243,705.5873463,5042.629483,-5858.748078,93985.09882,56953.64176,0.090256537,female
